# Server version 0.08 running on ppl-1.CS.McGill.CA:8123
# Game ID: 40
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Mon Mar 20 16:39:27 EDT 2017
# Player 1: Player-0, 'Human', running on ppl-1.CS.McGill.CA
# Player 2: Player-1, 'Human', running on ppl-1.CS.McGill.CA
START Player-0 Human
START Player-1 Human
PIT 1 5
PIT 1 4
PIT 0 1
PIT 0 2
PIT 0 0
PIT 1 2
PIT 0 3
PIT 1 3
PIT 0 2
PIT 1 4
PIT 0 1
PIT 1 5
PIT 0 3
